City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
548,Abu Dhabi,AE,77.11,few clouds,24.47,54.37,Mourouj Hotel Apartments
549,Malanje,AO,75.2,light rain,-9.54,16.34,Malanje Hotel
555,Samarai,PG,83.5,overcast clouds,-10.62,150.67,Nuli Sapi
561,Kerema,PG,80.67,overcast clouds,-7.96,145.78,Frena Lodge
562,Mackay,AU,84.18,clear sky,-21.15,149.2,International Lodge Motel
568,Sibu,MY,80.91,moderate rain,2.3,111.82,RH HOTEL (4 Star)
570,Langsa,ID,81.32,moderate rain,4.47,97.97,OYO 2964 Hotel Ridho
574,Isangel,VU,77.56,overcast clouds,-19.55,169.27,Tanna Lodge
579,Port Moresby,PG,85.42,broken clouds,-9.44,147.18,Lamana Hotel (Port Moresby)
581,Meulaboh,ID,84.25,overcast clouds,4.14,96.13,Kost Pria
586,Maceio,BR,78.24,broken clouds,-9.67,-35.74,Poutur Pousada
589,Jalor,IN,79.3,broken clouds,25.35,72.62,Hotel Mansarovar
595,Quatre Cocos,MU,85.08,few clouds,-20.21,57.76,Sunrise Attitude Hotel
600,Dhidhdhoo,MV,82.38,broken clouds,6.88,73.1,Dhidhoo beach
604,Tura,IN,76.42,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
611,Tessaoua,NE,76.26,broken clouds,13.76,7.99,Benin Dan Kaabou Heberge
625,Lorengau,PG,83.07,heavy intensity rain,-2.02,147.27,Lorengau Harbourside Hotel
628,Mpika,ZM,84.88,clear sky,-11.83,31.45,Melodies Lodge
632,Ko Samui,TH,85.91,few clouds,9.54,99.94,The Passage
642,Finschhafen,PG,81.54,overcast clouds,-6.6,147.87,Cossam Guest House
644,Kabinda,CD,80.38,light rain,-6.13,24.48,Village Mianda Mutole
647,Saint-Pierre,RE,86.18,few clouds,-21.34,55.48,Lindsey Hôtel
648,Matlang,PH,81.48,overcast clouds,10.89,124.46,JB's Collection & Mangrove Place
651,Honiara,SB,79.75,overcast clouds,-9.43,159.95,Heritage Park Hotel
654,Sadiqabad,PK,81.03,clear sky,28.31,70.13,MIDWAY HOTEL & RESTAURANT
655,Charters Towers,AU,87.15,broken clouds,-20.1,146.27,Cattleman's Rest Motor Inn
656,Bela,IN,82.92,clear sky,25.93,81.98,Siddharth Hotel
657,Kendari,ID,83.98,overcast clouds,-3.94,122.5,Hotel Wixel
659,Morondava,MG,86.5,clear sky,-20.28,44.28,La Case Bambou
665,Basco,PH,75.49,overcast clouds,20.45,121.97,Nathaniel's Lodge
668,Saint-Leu,RE,85.57,few clouds,-21.15,55.28,La Caz Oceane
673,Dosso,NE,77.52,overcast clouds,13.05,3.19,Hotel Toubal
679,Balikpapan,ID,85.19,few clouds,-1.27,116.83,Swiss-Belhotel Balikpapan
683,Sampang,ID,87.75,light rain,-7.19,113.24,sekretariat IKA STAIN
