City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
113,Kunming,CN,25.04,102.72,53.53,66,75,2.24,broken clouds
114,Sao Miguel Do Araguaia,BR,-13.28,-50.16,71.92,95,100,5.44,overcast clouds
115,Axim,GH,4.87,-2.24,81.91,76,69,4.14,broken clouds
116,Kushiro,JP,42.98,144.37,32.95,55,20,6.91,few clouds
117,Shaunavon,CA,49.65,-108.42,24.58,97,98,7.25,overcast clouds
118,Nuuk,GL,64.18,-51.72,32.61,93,75,31.07,snow
119,Caravelas,BR,-17.71,-39.25,70.84,93,96,2.86,overcast clouds
120,Mizdah,LY,31.45,12.98,46.04,56,0,10.6,clear sky
121,Pisco,PE,-13.7,-76.22,66.25,82,0,5.75,moderate rain
122,Iwanai,JP,42.97,140.51,33.03,76,92,8.52,overcast clouds
123,Belaya Gora,RU,68.53,146.42,-46.64,100,78,1.43,broken clouds
124,Tuatapere,NZ,-46.13,167.68,50.83,84,100,7.16,overcast clouds
125,Leningradskiy,RU,69.38,178.42,-7.46,98,100,5.28,overcast clouds
126,Sonkovo,RU,57.78,37.16,5.14,92,89,7.78,overcast clouds
127,Kozan,TR,37.46,35.82,63.5,35,90,4.74,overcast clouds
128,Saint-Joseph,RE,-21.37,55.62,85.1,70,15,9.44,few clouds
129,Soyo,AO,-6.13,12.37,80.04,82,100,5.39,overcast clouds
130,Talnakh,RU,69.49,88.4,-30.8,98,100,9.6,overcast clouds
131,Lazaro Cardenas,MX,17.96,-102.2,74.12,86,8,3.8,clear sky
132,Odweyne,SO,9.41,45.06,77.86,26,1,14.05,clear sky
133,Torbay,CA,47.67,-52.73,29.75,71,1,12.66,clear sky
134,Payson,US,40.04,-111.73,47.59,58,15,1.01,few clouds
135,Souillac,MU,-20.52,57.52,85.35,61,20,11.5,few clouds
136,Ponta Do Sol,PT,32.67,-17.1,65.03,65,100,7.78,overcast clouds
137,Narsaq,GL,60.92,-46.05,32.22,97,100,14.32,snow
138,Buala,SB,-8.14,159.59,80.87,83,100,6.42,light rain
139,Barrow,US,71.29,-156.79,3.22,78,40,20.71,scattered clouds
140,Lavrentiya,RU,65.58,-171.0,21.25,95,100,38.25,snow
141,Bac Lieu,VN,9.28,105.72,82.0,56,82,2.93,broken clouds
142,Guerrero Negro,MX,27.98,-114.06,61.07,86,76,14.67,broken clouds
143,Houma,US,29.6,-90.72,60.98,99,9,2.21,clear sky
144,Huanren,CN,41.26,125.37,29.79,85,98,4.97,overcast clouds
145,Itarema,BR,-2.92,-39.92,78.66,83,100,11.74,overcast clouds
146,Bathsheba,BB,13.22,-59.52,79.41,78,40,24.16,scattered clouds
147,Bilibino,RU,68.05,166.44,-28.57,92,100,4.41,overcast clouds
148,Taber,CA,49.82,-112.15,21.07,70,71,13.8,broken clouds
149,Matagami,CA,49.75,-77.63,-0.29,85,90,5.75,overcast clouds
150,Rionero In Vulture,IT,40.93,15.67,49.73,76,62,17.0,light rain
151,Surt,LY,31.21,16.59,57.22,62,5,16.89,clear sky
152,Igarka,RU,67.47,86.58,-39.98,99,66,5.77,broken clouds
