City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
126,Lerwick,GB,2021-12-04 02:16:03,60.1545,-1.1494,37.4,72,100,3.51
127,Oranjemund,NA,2021-12-04 02:20:21,-28.55,16.4333,61.41,81,12,17.4
128,Panaba,MX,2021-12-04 02:20:21,21.2833,-88.2667,70.16,80,3,7.76
129,Saint-Philippe,RE,2021-12-04 02:20:21,-21.3585,55.7679,76.55,85,36,8.57
130,Derzhavinsk,KZ,2021-12-04 02:20:22,51.1,66.3167,26.94,91,100,14.81
131,Tiksi,RU,2021-12-04 02:19:50,71.6872,128.8694,-31.61,99,39,5.68
132,Lavumisa,SZ,2021-12-04 02:20:22,-27.31,31.892,68.7,96,100,1.21
133,Ngunguru,NZ,2021-12-04 02:20:23,-35.6167,174.5,70.16,79,100,10.25
134,Bani Walid,LY,2021-12-04 02:20:23,31.7566,13.9942,49.91,57,0,20.07
135,Butaritari,KI,2021-12-04 02:20:24,3.0707,172.7902,82.29,76,83,12.26
136,East London,ZA,2021-12-04 02:20:24,-33.0153,27.9116,64.76,78,98,5.64
137,Saint Anthony,US,2021-12-04 02:20:25,45.0205,-93.218,35.92,81,1,3.0
138,Port Elizabeth,ZA,2021-12-04 02:20:25,-33.918,25.5701,59.09,94,0,3.44
139,Eenhana,NA,2021-12-04 02:20:25,-17.4667,16.3333,70.5,75,100,3.42
140,Juba,SS,2021-12-04 02:18:42,4.8517,31.5825,78.6,57,43,1.1
141,Saskylakh,RU,2021-12-04 02:20:26,71.9167,114.0833,-17.16,97,100,13.73
142,Faya,SA,2021-12-04 02:17:51,18.3851,42.4509,48.31,30,0,4.85
143,Kodiak,US,2021-12-04 02:20:27,57.79,-152.4072,9.91,85,1,6.91
144,Broken Hill,AU,2021-12-04 02:20:27,-31.95,141.4333,73.69,17,93,18.16
145,Margate,GB,2021-12-04 02:20:27,51.3813,1.3862,42.96,86,7,2.55
146,Almeirim,BR,2021-12-04 02:20:28,-1.5233,-52.5817,80.29,70,100,1.86
147,Fortuna,US,2021-12-04 02:15:57,40.5982,-124.1573,51.93,75,90,0.0
148,Goderich,CA,2021-12-04 02:15:33,43.7501,-81.7165,35.91,75,95,4.61
149,Aklavik,CA,2021-12-04 02:20:28,68.2191,-135.0107,-21.17,84,1,8.97
150,Camana,PE,2021-12-04 02:20:29,-16.6228,-72.7111,67.95,82,99,7.43
151,Udachnyy,RU,2021-12-04 02:20:29,66.4167,112.4,-5.01,98,100,9.42
152,Yellowknife,CA,2021-12-04 02:18:00,62.456,-114.3525,-12.59,94,90,13.8
153,The Valley,AI,2021-12-04 02:20:30,18.217,-63.0578,81.1,75,20,14.85
154,Kavaratti,IN,2021-12-04 02:20:30,10.5669,72.642,81.16,74,98,2.01
155,Kemijarvi,FI,2021-12-04 02:20:30,66.7131,27.4306,5.88,97,36,4.16
156,Havoysund,NO,2021-12-04 02:20:31,70.9963,24.6622,20.28,83,44,13.51
157,Roma,US,2021-12-04 02:20:31,43.2128,-75.4557,33.66,73,90,3.44
158,Nikolskoye,RU,2021-12-04 02:20:32,59.7035,30.7861,25.02,95,100,5.46
159,Riyadh,SA,2021-12-04 02:20:01,24.6877,46.7219,48.34,39,85,5.01
160,Constitucion,CL,2021-12-04 02:16:17,-35.3333,-72.4167,51.91,79,5,10.04
161,Panama City,PA,2021-12-04 02:20:32,8.9936,-79.5197,82.06,84,20,4.61
162,Neiafu,TO,2021-12-04 02:20:33,-18.65,-173.9833,84.88,70,40,5.75
163,Tual,ID,2021-12-04 02:20:33,-5.6667,132.75,83.68,74,28,6.51
164,Bima,ID,2021-12-04 02:20:33,-8.4667,118.7167,84.78,74,100,0.85
165,Coahuayana,MX,2021-12-04 02:20:34,18.7333,-103.6833,80.08,89,90,0.58
166,Victoria,HK,2021-12-04 02:19:45,22.2855,114.1577,68.04,34,48,5.99
167,Madang,PG,2021-12-04 02:20:34,-5.2246,145.7966,88.39,65,66,5.88
168,Orlik,RU,2021-12-04 02:20:35,52.5178,99.825,2.46,82,100,1.19
169,Shimoda,JP,2021-12-04 02:20:35,34.6667,138.95,58.1,59,0,27.29
170,Letterkenny,IE,2021-12-04 02:20:36,54.95,-7.7333,40.42,86,21,22.64
171,Airai,TL,2021-12-04 02:20:36,-8.9266,125.4092,65.89,82,100,2.91
172,Venado Tuerto,AR,2021-12-04 02:20:37,-33.7456,-61.9688,67.77,78,97,11.05
173,Tweed,CA,2021-12-04 02:20:37,44.4751,-77.3162,29.14,60,100,4.41
174,Ulladulla,AU,2021-12-04 02:20:37,-35.35,150.4667,70.77,90,100,8.55
175,Amga,RU,2021-12-04 02:20:38,60.8953,131.9608,-25.55,97,50,3.06
176,Mount Gambier,AU,2021-12-04 02:20:39,-37.8333,140.7667,63.14,55,76,10.31
177,Ampanihy,MG,2021-12-04 02:20:39,-24.7,44.75,72.32,50,2,3.51
178,Cidreira,BR,2021-12-04 02:20:39,-30.1811,-50.2056,68.61,81,52,19.15
179,Sayyan,YE,2021-12-04 02:20:40,15.1718,44.3244,41.81,32,5,5.23
180,Pevek,RU,2021-12-04 02:20:40,69.7008,170.3133,-7.67,94,100,14.34
181,Alice Springs,AU,2021-12-04 02:17:24,-23.7,133.8833,96.35,16,0,11.5
182,Katsuura,JP,2021-12-04 02:20:41,35.1333,140.3,60.19,56,0,24.09
183,Ayan,RU,2021-12-04 02:20:41,56.45,138.1667,-2.72,78,14,9.37
184,Panjakent,TJ,2021-12-04 02:20:41,39.4952,67.6093,37.2,44,100,1.43
185,Petropavlovsk-Kamchatskiy,RU,2021-12-04 02:20:42,53.0452,158.6483,36.19,87,75,11.18
186,Magistralnyy,RU,2021-12-04 02:20:42,56.1725,107.4458,22.78,81,100,4.05
187,Thompson,CA,2021-12-04 02:20:43,55.7435,-97.8558,-12.84,84,75,5.75
188,Vila Franca Do Campo,PT,2021-12-04 02:20:43,37.7167,-25.4333,61.2,81,8,2.42
189,Adrar,MR,2021-12-04 02:20:44,20.5022,-10.0711,64.72,21,100,9.15
190,Sterling,US,2021-12-04 02:16:36,39.0062,-77.4286,49.44,68,75,5.01
191,Christchurch,NZ,2021-12-04 02:18:41,-43.5333,172.6333,82.6,42,23,5.99
192,Upernavik,GL,2021-12-04 02:20:45,72.7868,-56.1549,10.42,70,92,9.24
193,Luba,GQ,2021-12-04 02:20:45,3.4568,8.5547,73.29,82,100,1.21
194,Deputatskiy,RU,2021-12-04 02:20:45,69.3,139.9,-40.4,95,57,5.79
195,Geraldton,AU,2021-12-04 02:20:46,-28.7667,114.6,95.41,18,0,20.71
196,Larap,PH,2021-12-04 02:20:46,14.299,122.6504,77.29,75,88,15.86
197,Arraial Do Cabo,BR,2021-12-04 02:20:47,-22.9661,-42.0278,71.71,76,1,2.46
198,Pangody,RU,2021-12-04 02:20:47,65.85,74.4859,-11.54,89,100,6.53
199,Mayna,RU,2021-12-04 02:20:48,54.1135,47.6231,36.9,81,89,20.69
200,Norrtalje,SE,2021-12-04 02:20:48,59.758,18.705,21.24,94,89,2.59
201,Bloemfontein,ZA,2021-12-04 02:20:48,-29.1211,26.214,60.28,94,98,2.3
202,Sao Filipe,CV,2021-12-04 02:20:49,14.8961,-24.4956,74.95,68,100,10.11
203,Doha,QA,2021-12-04 02:20:49,25.2867,51.5333,66.18,52,0,10.36
204,Souillac,MU,2021-12-04 02:16:35,-20.5167,57.5167,79.36,88,20,3.44
205,Miranda,CO,2021-12-04 02:20:50,3.2499,-76.2281,68.13,95,99,4.38
206,Nizhniy Baskunchak,RU,2021-12-04 02:20:50,48.2198,46.8311,38.53,91,12,15.21
207,Zhelyabovka,UA,2021-12-04 02:20:50,45.3988,34.7578,53.91,82,100,11.48
208,Sakakah,SA,2021-12-04 02:20:51,29.9697,40.2064,49.57,43,100,7.63
209,Coxim,BR,2021-12-04 02:20:51,-18.5067,-54.76,78.28,78,16,2.71
210,Yumen,CN,2021-12-04 02:20:52,40.2833,97.2,30.02,28,0,11.68
211,Valparaiso,CL,2021-12-04 02:17:11,-33.0393,-71.6273,60.44,55,0,8.05
212,Porteirinha,BR,2021-12-04 02:20:52,-15.7433,-43.0283,68.31,95,27,4.03
213,Mayumba,GA,2021-12-04 02:20:53,-3.432,10.6554,77.14,89,100,3.51
